# Livox official MID-360 scan trajectory, uniformly sampled to 2400 rays.
# Source: https://github.com/Livox-SDK/livox_laser_simulation/blob/master/scan_mode/mid360.csv
# Columns retain the official format: Time/s,Azimuth/deg,Zenith/deg.
# The native plugin reads the directions; point timestamps come from the actual
# Gazebo raycast-request time of each acquisition batch.
Time/s,Azimuth/deg,Zenith/deg
372156,95.043,84.7214
372490,342.7,85.1214
372823,232.75,83.7694
373157,123.75,82.0397
373490,10.548,79.59
373823,261.82,77.86
374157,153.68,75.239
374490,40.537,74.199
374824,294.08,73.094
375157,183.64,68.792
375491,71.236,67.301
375824,325.96,66.623
376158,212.57,63.495
376491,102.32,61.408
376825,350.28,60.457
377158,244.65,56.677
377492,132.94,53.924
377825,26.975,54.785
378159,282.01,51.334
378492,171.27,48.429
378826,67.428,47.183
379159,322.9,44.955
379492,215.26,45.618
379826,111.78,43.584
380159,8.0743,42.135
380493,263.14,38.662
380826,157.35,44.634
381160,55.242,43
381493,304.87,44.297
381827,196.63,49.923
382160,93.748,49.12
382494,341.31,54.046
382827,232.7,57.467
383161,123.86,61.708
383494,14.68,61.352
383828,264.67,65.623
384161,158.6,67.239
384495,48.9,67.152
384828,298.25,71.487
385162,188.96,71.366
385495,79.229,72.345
385828,330.73,76.692
386162,219,76.514
